There were varying degrees of Romanization throughout Roman Dacia.	達契亞行省各處都有不同程度的羅馬化。
The government grimly contemplated disbanding divisions to replace malaria casualties.	政府嚴厲考慮解散各部門以取代瘧疾傷亡。
"Our worst enemy in New Guinea," General Blamey declared, "is not the Nip—it’s the bite."	布萊梅將軍宣稱，「我們在新幾內亞最大的敵人，不是日本人，而是咬人。」
This caused Blamey to despatch a medical mission headed by Fairley to the United States and the United Kingdom in September 1942 to present the Army's case for a more adequate and equitable share of anti-malarial supplies.	這導致布萊梅於 1942 年 9 月派遣了一支由費爾利率領的醫療團前往美國和英國，向陸軍提出更充分、更公平地分配抗瘧疾物資的理由。
Illinois farmer David Johnson built his 31-foot-tall (9.4 m) goat tower in Shelby County, near Findlay, after seeing an article on Fairview in the magazine Decanter.	伊利諾伊州 (Illinois) 農民 David Johnson 在芬德利 (Findlay) 附近的謝爾比郡 (Shelby County) 建造了他的31英尺高 (9.4米) 的山羊塔，他在《品醇客》(Decanter) 雜誌上看到了一篇關於 Fairview 的文章。
Another goat tower was built in the outdoor-seating area of Silky O'Sullivan's bar in Memphis, Tennessee on Beale Street.	另一座山羊塔建在田納西州孟菲斯市區比爾街 (Memphis, Tennessee on Beale Street) 的 Silky O'Sullivan 酒吧的戶外座位區。
In a Waunakee, Wisconsin goat petting zoo, a goat tower was built by the Endres family.	在威斯康星州 Waunakee 的山羊寵物動物園，Endres 家族建造了一座山羊塔。
The tower was designed in a Bavarian style to match other buildings of the area.	為了匹配該地區的其他建築，該塔的設計採用巴伐利亞風格。
The owners claim it is the fifth goat tower ever constructed after the ones in Fairview, the “Tower of Baaa” in Findlay, Memphis, and Ekeby.	業主聲稱這是繼 Fairview、Findlay、Memphis 和 Ekeby 的「Tower of Baaa」之後建造的第五座山羊塔。
Life at the Bottom has received mostly positive reviews.	《底層生活》(Life at the Bottom) 獲得了大多推崇的評價。
Gregory Schneider of the Topeka Capital-Journal called the collection "the best exploration of the problems of poverty ever written." America magazine writer, Peter Heinegg, considered the essays to be a "barrage of breathtakingly horrible true-life...stories", but he said that Dalrymple puts too much of his personal "snorting indignation" into the text without letting the reader draw their own conclusions.	《托彼卡首府日報》(Topeka Capital-Journal) 的 Gregory Schneider 稱該集是「有史以來對貧困問題的最佳探索」。美國雜誌作家 Peter Heinegg 認為這些文章是「令人歎為觀止的可怕真實生活的彈幕......故事」，但他說，Dalrymple 將太多他個人的「嗤之以鼻的憤慨」放入內文中，而沒有讓讀者得出自己的結論。
He ended by saying, "Dalrymple's case sounds like a paranoid tirade or perverse tribute, but it is at least partially redeemed by the barrage of breathtakingly horrible true-life (one assumes) stories that this very angry doctor tells...to bolster it." John Clark of Liberty magazine called it "so compelling...that I read it cover to cover in a day's time—and later reread it twice."	他最後說：「Dalrymple的案件聽起來像是偏執狂的長篇大論或反常的致敬，但它至少部分地被這個非常憤怒的醫生講述的令人歎為觀止的可怕的真實生活 (人們假設) 故事所救贖......以加強它。」《自由》(Liberty) 雜誌的 John Clark 稱其為「如此引人注目......我在一天的時間內一遍又一遍地讀了它-後來又重讀了兩遍。」
Thomas Sowell, a pundit and social critic, described it as "brilliant and insightful" in Capitalism magazine and "an insightful and devastating eyewitness account of the white underclass in Britain" in the Jewish World Review.	權威人士和社會評論家 Thomas Sowell 在《資本主義》(Capitalism) 雜誌上將其描述為「輝煌而富有洞察力」，並在《猶太世界評論》 (Jewish World Review) 上稱其為「對英國白人下層階層階級的深刻而毀滅性的目擊者描述」。
Overall, Sowell said that the collection was able to explain that "One of the most telling examples of the social destructiveness of the left's welfare-state vision can be found among the white slum dwellers in Britain." Atlanta Journal-Constitution writer, Theresa K. Weaver, called the collection "saddening, infuriating, and ultimately not terribly empowering", stating that she wishes Dalrymple "might at least offer a few ideas on turning everything around." Arthur Foulkes of the Carolina Journal described it as a "fine book" that "offers much to friends of liberty everywhere." Roger Donway of The Atlas Society considered it to be "one of the most instructive books that I have read in many years".	整體而言，Sowell 說，這些作品集能夠解釋「左翼福利國家願景的社會破壞性的最明顯的例子之一可以在英國的白人貧民窟居民中找到。」《亞特蘭大憲法報》(Atlanta Journal-Constitution) 的作者 Theresa K. Weaver 稱該系列「令人悲傷，令人憤怒，最終並不是非常強大」，並表示她希望Dalrymple「至少可以提供一些關於扭轉一切的想法」。《卡羅來納日報》(Carolina Journal) 的 Arthur Foulkes 將其描述為一本「好書」，「為世界各地的自由朋友提供了很多意涵」。《阿特拉斯協會》(The Atlas Society) 的 Roger Donway 認為它是「我多年來讀過的最具啟發性的書之一」。
Stephen Goode, writing for Insight on the News, said that the collection argued its "position brilliantly and with impressive passion".	Stephen Goode 為《新聞透視》(Insight on the News) 撰稿稱，該系列「出色地、以令人印象深刻的熱情論證了自己的地位」。
The National Observer wrote that it "has much value", if it is taken as an "antidote to fashionable loose thinking".	《國家觀察員》(National Observer) 寫道，如果該系列被視為「時髦鬆散思維的解毒劑」，就「具有很大價值」。
Phips arrived back in Boston in the summer of 1688 and was welcomed back as a hero.	Phips 於 1688 年夏天回到波士頓，並受到英雄般歡迎。
His wife seemed very happy to see him.	他的妻子看到他似乎很高興。
He was celebrated in sermons and at the Harvard college commencement he was compared to Jason fetching the Golden Fleece.	他在佈道中受到讚揚，在哈佛大學的畢業典禮上，他被比作 Jason 拿金羊毛。
Andros and Randolph were not so happy to see him and it seems the feeling was mutual.	Andros 和 Randolph 見到他並不那麼高興，似乎這種感覺是相互的。
Almost all of New England was unified in their opposition to Andros and Randolph.	幾乎整個新英格蘭都團結一致反對 Andros 和 Randolph。
Phips, despite having been captain of Randolph's gunship in 1683-4, does not seem to have carried an association with Randolph in the minds of the people of Massachusetts Bay.	Phip 儘管在 1683-1684 年擔任 Randolph 砲艦機的機長，但在麻薩諸塞灣 (Massachusetts Bay) 人民的心目中似乎對 Randolph 沒有印象。
Andros swore Phips into his new post in early July, but his council refused Phips' demand that the previously named sheriffs be dismissed.	Andros 使 Phips 在七月初宣誓就職，但 Phips 解僱先前任命的治安官的要求遭議會拒絕。
If Phips had simply wanted a share in the spoils of the Dominion, he might have stuck around and kept his head down.	如果 Phips 只是想分享自治領地的戰利品，他可能會留下來且保持低調。
Instead he stayed home in Boston only six weeks before shipping back to London to join with Increase Mather in opposing the Dominion and seeking to restore the original charter.	反而是，他只在波士頓的家中呆了六個星期，然後運回倫敦，與 Increase Mather 一起反對自治領地，並試圖恢復原始憲章。
This seems to be the first mention of Phips in Increase Mather's diary or correspondence.	這似乎是在 Increase Mather 的日記或信件中第一次提到 Phips。
Motivated by a shared dislike of Andros, Phips and Increase Mather worked together to bring about his downfall.	在對 Andros 的共同厭惡的驅使下，Phips 和 Increase Mather 共同努力，導致了他的垮臺。
After the Glorious Revolution in late 1688 replaced the Catholic James with the Protestant monarchs William III and Mary II, Phips and Mather petitioned the new monarchs for restoration of the Massachusetts charter, and successfully convinced the Lords of Trade to delay the transmission of formal instructions about the change of power to Andros.	1688年末光榮革命 (Glorious Revolution) 以新教君主威廉三世 (William III) 和瑪麗二世 (Mary II) 取代天主教的 James 後，Phips 和 Mather 請求新君主恢復馬薩諸塞州憲章，並成功地說服貿易局 (Board of Trade) 推遲向 Andros 傳遞關於權力更迭的正式指示。
Phips returned to Boston in May 1689, carrying proclamations from the king and queen, and found Andros and Randolph had already been arrested in a revolt in Boston.	1689 年 5 月，Phips 帶著國王和王后的詔書回到波士頓，發現 Andros 和 Randolph 已經在波士頓的一次叛亂中被捕。
Phips served for a time as an overseer guarding Andros and Randolph in the prison at Castle Island.	Phips 曾一度擔任監視者，在城堡島 (Castle Island) 的監獄里看守 Andros 和 Randolph。
If Paris were worth a mass to Henry IV, Boston was worth a conversion, in the Puritan sense, to William Phips.	如果對亨利四世 (Henry IV) 來說巴黎確實值得舉行彌撒，則在清教徒的意義上，波士頓就值得任命給 William Phips。
The turmoil in England and William's accession to the throne had prompted New France's Governor to take advantage of the political turmoil in New England, launching a series of Indian raids across the northern frontier in 1689 and early 1690.	英格蘭的動蕩和威廉登基促使新法蘭西總督利用新英格蘭的政治動蕩，在 1689 年和 1690 年初發動了一系列印第安人對北部邊境的襲擊。
When a frontier town in Maine was overrun in early March 1690, the French were perceived as instigators and the provisional government of Massachusetts, began casting about for a major general to lead an expedition against the French in Acadia.	1690 年 3 月初，緬因州 (Maine) 的一個邊防城鎮被佔領，法國人被視為煽動者，馬薩諸塞州 (Massachusetts) 臨時政府開始尋找一名少將，率領遠征阿卡迪亞 (Acadia) 的法國人。
