There were varying degrees of Romanization throughout Roman Dacia.	整个罗马达契亚有不同程度的罗马化。
Andrew Hampp of Billboard echoed Unterberger's sentiments, saying "The nostalgia of Cam's return trumps the overall catchiness of the song." XXL Magazine stated that "Though many of the early songs [on the album] lack real substance, the records remain generally exciting - “I Am Your Leader,” alongside Rick Ross and Cam’ron, “Beez In The Trap” with 2 Chainz, and the triumphant “Champion” featuring Nas, Drake and Young Jeezy are all memorable moments".	Billboard 的 Andrew Hampp 与 Unterberger 的观点不谋而合，他说：“ Cam 的回归带来的怀旧感胜过这首歌的整体吸引力。”XXL 杂志指出“尽管[专辑中的]许多早期歌曲缺乏真正的内涵，但唱片总体上仍然很出彩 - 与 Rick Ross 和 Cam’ron 一起制作的‘我是你们的领袖’，与 2 Chainz 一起制作的‘Beez 的陷阱’，以及与 Nas、Drake 和 Young Jeezy 一起制作的‘冠军’都是令人难忘的时刻”。
Joe Rivers No Ripcord praised "I Am Your Leader" along with "Beez in the Trap" for being "thrilling" and making "good use of cameos".	Joe Rivers No Ripcord 称赞“我是你们的领袖”和“Beez 的陷阱”“扣人心弦”，并且“善用客串”。
Stephen Deusner of Paste Magazine said that "On the nursery rhyming “I Am Your Leader,” [Minaj] spits yet another dick joke like a playground jeer, slyly undermining hip-hop's traditionally male-centric braggadocio.	Paste 杂志的 Stephen Deusner 说：“在押韵的‘我是你们的领袖’中，[Minaj] 又吐出了一个像操场上的嘲笑一样的阴茎笑话，狡猾地破坏了嘻哈音乐传统上以男性为中心的吹牛。
She's not only participating in phallocentric boasting; she's also inflating the convention with a Swedish penis pump until it's just shy of bursting".	她不仅参与了以男性为中心的吹牛；她还用瑞典阴茎泵夸大了传统，直到它快要爆裂为止”。
David Jeffries of Allmusic listed it as one of the best tracks on the album.	Allmusic 的 David Jeffries 将其列为专辑中最好的曲目之一。
Matthew Cole of Slant Magazine stated that "'I Am Your Leader' and 'Beez in the Trap' [are] two excellent tracks which manage to sound both bubbly and heavy as Minaj delivers her most effortlessly entertaining shit-talk to date".	Slant 杂志的 Matthew Cole 说：“‘我是你们的领袖’和‘Beez 的陷阱’[是]两首出色的歌曲，它们让 Minaj 的声音听起来欢快而又醇厚，因为她提供了她迄今为止最信手拈来的娱乐性脏话”。
Ryan Dombal of Pitchfork called "Come On A Cone" and "I Am Your Leader" "two brilliantly off-kilter songs".	Pitchfork 的 Ryan Dombal 称“来一下”和“我是你们的领袖”是“两首出色的失衡歌曲”。
Tom Ewing of The Guardian said that "On "I Am Your Leader", [Minaj] drops a couple of octaves to gleefully pompous effect".	《卫报》的 Tom Ewing 说，“在‘我是你们的领袖’中，[Minaj] 降了几个八度，达到了欢欣的浮夸效果。”
Kevin Ritchie of NOW Magazine named it the top track of the album.	NOW 杂志的 Kevin Ritchie 称其为专辑中的顶级曲目。
Kyle Anderson of Entertainment Weekly named it one of the best tracks on the album along with "Champion".	《娱乐周刊》的 Kyle Anderson 将其与“冠军”并列为专辑中的最佳曲目之一。
The video begins with a pink mailbox with the song's title on the front written in different fonts.	视频开始时有一个粉红色的邮箱，正面用不同字体写着歌曲的标题。
The video is set in a playhouse esque brightly coloured house.	视频背景为一个类似于游乐场的色彩鲜艳的房子。
The episode was written by Richard Appel, but the idea of Bart and Lisa attending a military academy had previously been pitched, and had been floating around since 1991.	这一集的编剧为 Richard Appel，但 Bart 和 Lisa 入读军事学院的想法此前就已提出，而且自 1991 年以来一直在流传。
The idea had not yet been used as an episode plot, because the writers had not felt comfortable with taking Bart and Lisa to a strange place early in the series.	这个想法还没有被用作剧集的情节，因为编剧对在剧集初期把 Bart 和 Lisa 带到一个陌生地方感觉到不舒服。
During the scene where the Commandant is talking, there is a brief shot of Lisa blinking.	在指挥官谈话的场景中，有一个 Lisa 眨眼的短暂镜头。
As there had been an error in the final print of the episode, the shot was animated, painted and shot on May 16, 1997, the Friday before the episode's airdate.	由于该集的最后印刷出现错误，这组镜头是在 1997 年 5 月 16 日星期五，该集播出前完成动画绘制、着色和拍摄的。
The spiky blond-haired boy, who runs towards the Eliminator while screaming, is a caricature of director Mike B. Anderson.	脾气暴躁的金发男孩尖叫着奔向 Eliminator，这个男孩就是导演迈克•B•安德森的漫画形象。
The episode originally aired on May 18, 1997, as the season finale, along with a rerun of "The Springfield Files." The episode was mistakenly anticipated by some as being about Lisa launching "a legal battle" to enroll at the military school.	该集最初于 1997 年 5 月 18 日播出，作为这一季的最后一集，同时重播《春田档案》。一些人误以为在这一集中，为了上军事学校，丽萨会发起“一场法律大战”。
In its original broadcast, "The Secret War of Lisa Simpson" finished 47th in ratings for the week of May 12–18, 1997, with a Nielsen rating of 8.3, equivalent to approximately 8.1 million viewing households.	最初播出时，《丽萨辛普森的秘密战争》在 1997 年 5 月 12–18 日这一周的收视率排名第 47 位，尼尔森评分为 8.3 分，相当于约 810 万个家庭观看。
It was the second highest-rated show on the Fox network that week, following The X-Files.	这是该周福克斯网络上排名第二的节目，仅次于《X 档案》。
Warren Martyn and Adrian Wood, the authors of the book I Can't Believe It's a Bigger and Better Updated Unofficial Simpsons Guide, disliked the episode, writing that it was "very dull" and that Dafoe was not used well.	《我简直不敢相信这是更大更新的辛普森一家非官方指南》一书的作者沃伦•马丁和艾德里安•伍德不喜欢这一集，他们写到，这一集“非常乏味”，达福没有得到很好的利用。
However, Dafoe is one of show runner Josh Weinstein's favorite guest stars.	但是，达福是剧集制片人乔什•温斯坦最喜欢的客串明星之一。
Ian Johnson argued Dafoe's casting was "rare" and "somewhat offbeat".	伊恩•约翰逊辩称，达福的选角“罕见”、“有些另类”。
Journalist Raju Mudhar also wrote that in this episode, "The Simpsons have succinctly laid out our eventual future." This referred to the rise of robots (such as combat drones) in the real world and the quote from this episode:	记者 Raju Mudhar 也写到，在这一集中，“《辛普森一家》简洁地描绘了我们最终的未来。”这指的是现实世界中机器人的兴起（比如战斗无人机），以及这一集中的引述：
"The wars of the future will not be fought on the battlefield or at sea.	“未来的战争不会在战场或海上进行。
They will be fought in space, or possibly on top of a very tall mountain.	它们会在太空，或者可能在很高的山顶进行。
In either case, most of the actual fighting will be done by small robots.	无论哪种情况，大部分的实际战斗都将由小型机器人完成。
And as you go forth today remember always your duty is clear: To build and maintain those robots."	当您今天勇往直前时，务必记住，您的职责很明确：制造和维护这些机器人。”
The episode was one of four in 1999 released on a VHS (Re-released on DVD in 2005) called Bart Wars focused on crosses between The Simpsons and Star Wars.	这一集是 1999 年以 VHS 形式发行（2005 年以 DVD 形式重新发行）的四集之一，名为《战争巴特》，内容讲述了《辛普森一家》与《星球大战》之间的融合。
However, one critic wrote that with this episode and "Marge Be Not Proud" and "Dog of Death," both of which are also on the DVD, the "Star Wars connection" is "tangential at best."	但是，一位影评人写到，和这一集以及这盘 DVD 上的《玛吉不骄傲》和《死亡之犬》一样，《星球大战 连接》“充其量是牵强附会”
By end of the 16th century Cassel had become a border town between France and the Spanish Netherlands.	到 16 世纪末，卡塞勒已经成为法国与西属尼德兰之间的边境城镇。
The French repeatedly fought with Spain and later the independent Dutch Republic for control of the town; in March 1645, Gaston, Duke of Orléans seized it but lost it again to the Spanish a few months later.	法国多次与西班牙交战，随后又与独立的荷兰共和国交战，争夺该镇的控制权；1645 年 3 月，奥尔良公爵加斯东夺取该镇，但几个月后再次被西班牙夺走。
